Game,Time,GrSubject,BR1,BR2,BR3,twdbr1,twdbr2,twdbr3
28,58,3,20.316368,10.0112705,84.67236,1,1,0
28,59,1,90.277954,-0.44117516,25.163221,0,1,0
28,59,2,5.1760006,84.92394,24.900059,0,0,0
28,59,3,9.3717165,14.346635,91.28165,0,1,0
28,60,1,-67.7283,191.04729,-8.318986,0,1,1
28,60,2,8.116795,63.568024,43.31518,1,1,1
28,60,3,-100.172844,147.35707,67.81577,0,1,0
28,61,1,91.173775,-13.33804,37.16427,1,1,1
28,61,2,4.0051665,84.12339,26.87144,1,1,1
28,61,3,11.797526,23.52814,79.67433,0,1,0
28,62,1,90.367714,-0.14349802,24.775782,1,1,1
28,62,2,8.250279,82.57658,24.173145,1,1,1
28,62,3,18.29665,11.387642,85.31571,1,1,0
28,63,1,80.40507,-24.294249,58.88918,1,0,1
28,63,2,11.428915,81.86506,21.706024,0,1,1
28,63,3,45.513226,-15.985878,85.47266,1,0,0
28,64,1,97.79314,-32.282562,49.489426,0,0,1
28,64,2,3.2585893,79.388245,32.35317,1,1,1
28,64,3,34.620575,-18.607439,98.98687,1,0,0
28,65,1,92.78187,-20.129112,42.347244,1,1,1
28,65,2,2.7585893,79.388245,32.85317,1,1,1
28,65,3,31.99279,7.969145,75.03806,1,1,0
28,66,1,107.66556,-9.695957,17.030397,0,1,1
28,66,2,5.7517443,73.33013,35.91812,1,1,1
28,66,3,10.7799635,13.934519,90.285515,0,1,0
28,67,1,98.397766,-44.446037,61.048267,1,0,0
28,67,2,0.16626161,82.1886,32.64514,1,1,1
28,67,3,36.064102,-19.325893,98.261795,1,0,0
28,68,1,94.874016,-31.723225,51.849205,1,1,1
28,68,2,2.6027105,83.2,29.19729,1,1,1
28,68,3,22.370794,-4.0567756,96.68598,1,1,0
28,69,1,-219.94594,492.0473,-157.10135,0,0,0
28,69,2,-5.0772166,83.55985,36.517365,1,1,1
28,69,3,-192.89865,495.4527,-187.55406,0,1,0
28,70,1,89.911865,-2.256612,27.344744,1,1,1
28,70,2,47.95271,-147.55406,214.60135,0,0,1
28,70,3,16.006355,-106.94636,205.94,1,1,0
28,71,1,93.75297,-34.482903,55.729935,1,1,1
28,71,2,-1.407501,108.34034,8.067161,1,0,1
28,71,3,-22.629467,26.632357,110.99711,0,1,1
28,72,1,108.24597,-40.45766,47.211685,0,0,0
28,72,2,56.67568,-50.0,72.699326,0,0,1
28,72,3,26.393316,-6.9373407,95.54402,0,1,0
28,73,1,109.68529,-41.995937,47.310654,0,0,1
28,73,2,14.998178,89.48,10.521822,0,1,1
28,73,3,23.403206,18.209795,73.387,0,1,0
28,74,1,110.09047,-39.63603,44.54556,1,0,0
28,74,2,10.498178,89.48,15.021822,0,1,0
28,74,3,19.65944,13.841028,81.499535,0,1,0
28,75,1,110.09047,-39.63603,44.54556,1,0,0
28,75,2,9.18623,93.31378,12.499991,0,1,0
28,75,3,19.839556,14.021145,81.1393,1,1,1
28,76,1,99.36082,4.276834,11.362348,0,1,1
28,76,2,18.398714,95.20785,1.3934346,0,1,0
28,76,3,20.84944,13.531028,80.61953,1,1,1
28,77,1,98.72262,1.9334346,14.343948,1,1,0
28,77,2,6.8197823,96.46866,11.711558,0,1,0
28,77,3,18.192524,8.552056,88.25542,0,0,1
28,78,1,98.72262,1.9334346,14.343948,1,1,1
28,78,2,11.701256,89.124466,14.174281,0,1,0
28,78,3,15.754792,1.0330749,98.212135,0,1,1
28,79,1,99.61096,0.5263479,14.862688,1,1,0
28,79,2,17.042662,80.967476,16.98986,1,1,0
28,79,3,23.694403,8.222685,83.08291,0,1,1
28,80,1,98.66774,1.851265,14.480994,1,1,1
28,80,2,13.857408,87.79403,13.348563,1,1,1
28,80,3,19.609528,7.0122423,88.37823,1,0,1
28,81,1,97.74693,4.490477,12.762588,0,0,0
28,81,2,16.78919,87.413506,10.797302,0,1,0
28,81,3,30.68948,16.154837,68.155685,1,1,0
28,82,1,87.51107,9.516241,17.97269,1,1,1
28,82,2,15.436129,88.24338,11.320495,0,1,0
28,82,3,26.828796,17.133558,71.03764,0,1,1
28,83,1,87.51107,9.516241,17.97269,0,0,0
28,83,2,16.287,87.995544,10.717453,0,0,0
28,83,3,20.257563,9.01624,85.7262,0,0,1
28,84,1,102.889435,-0.9153547,13.025919,1,1,1
28,84,2,15.989501,88.065544,10.944953,1,1,1
28,84,3,23.632475,4.9009757,86.46655,1,1,1
28,85,1,97.95197,1.5631431,15.48488,1,1,1
28,85,2,21.385586,84.676384,8.938028,0,0,0
28,85,3,38.59647,12.100014,64.30352,1,0,0
28,86,1,102.588,-8.675109,21.087116,1,1,1
28,86,2,23.86729,83.909096,7.223612,1,1,1
28,86,3,38.399708,-7.9426165,84.54291,1,1,1
28,87,1,100.447,1.6891702,12.8638315,1,1,1
28,87,2,20.668001,88.30902,6.022976,1,1,1
28,87,3,29.985374,4.1338983,80.88073,0,1,1
28,88,1,98.75681,11.6594305,4.5837555,1,1,1
28,88,2,25.79199,83.45794,5.750074,0,0,0
28,88,3,27.883066,25.178144,61.93879,1,1,0
28,89,1,79.22445,57.1799,-21.404348,1,1,1
28,89,2,14.310263,85.07462,15.615114,1,1,1
28,89,3,-10.292841,64.4656,60.827244,0,1,0
28,90,1,86.49379,5.876885,22.629328,1,1,1
28,90,2,18.930979,92.960335,3.1086855,1,1,0
28,90,3,29.44598,38.168255,47.385765,1,1,1
28,91,1,115.5519,5.6762276,-6.2281284,1,0,1
28,91,2,9.773118,90.135086,15.091798,0,0,0
28,91,3,12.535273,17.673374,84.79135,0,0,1
28,92,1,93.940475,12.230211,8.829312,1,1,1
28,92,2,20.329418,91.18668,3.4838974,1,1,1
28,92,3,22.118832,12.92459,79.95658,0,1,1
28,93,1,93.58994,-3.338561,24.74862,1,1,1
28,93,2,9.046057,83.55667,22.397272,1,0,1
28,93,3,27.718973,10.857818,76.42321,1,1,0
28,94,1,91.298485,-8.967425,32.668938,1,0,1
28,94,2,6.598027,82.08071,26.321262,1,1,1
28,94,3,34.507423,9.823432,70.66914,1,1,0
